biz,ratingValue,datePublished,description
b'da-jia-le-berlin-3',5,b'2015-07-16',"b""After living in Beijing for almost 4 years then moving to Berlin 2.5 years ago I've been craving REAL Chinese food and I'm very pleased to say I've found it! \n\nAuthentic dishes,  superb flavours and very nice staff (they even kindly put up with my terrible out of practice Chinese!). Another delightful surprise was the great selection of craft beers on their menu BONUS! But I stayed faithful and had a Tsingtao to truly have my \xe7\x9c\x9f Chinese fix. \n\nDo yourself a favour and go eat some real Chinese food,  you will not regret it."""
b'da-jia-le-berlin-3',5,b'2016-02-27',b'The food was really good and the service was great! My favourites were duck with shrimps and for desert the caramelised sweetpotatoes!\nWonderful!'
b'da-jia-le-berlin-3',4,b'2016-03-30',"b""Probably some of the best Chinese I've had in Berlin... I can't say I've tried every place but everything I ordered was really fresh and tasty. The portions were actually quite large as well so you get your money's worth!\n\nAlso they have some local craft beer selections which is a plus!"""
b'da-jia-le-berlin-3',5,b'2015-01-08',"b'Last time I tried the Sichuan-style chicken, which blew me away. I needed to give them one more star just for that dish.\n\nI asked them about Hunan food in Berlin and they recommended another place not too far away which I tried, too.'"
b'da-jia-le-berlin-3',5,b'2016-05-23',"b'Food: Authentic, delicious, and freshest ingredients. \nDrinks: Selected craft beers and top notch wines for an affordable price.\nService: Run by a sweet and friendly family.\nPerfection!'"
b'da-jia-le-berlin-3',4,b'2015-06-09',"b""I ate here last week and had a really delicious meal.  The restaurant is in a kind of odd location - just down from the Yorkstrasse station in an area of mostly apartment buildings and sp\xc3\xa4ti.  It took us a second to figure out how to get inside the restaurant...turns out there are sliding doors on the right!  The interior is nothing special, just the typical Chinese restaurant stuff, but it was quiet and the booths felt intimate. \n\nThe menu is quite large!  I had difficulty picking something out from all of the options.  Eventually we settled on a chicken and a pork dish (I don't remember the names because they were Chinese!) and some pork & shrimp dim sum.  Both of our dishes were awesome!  Especially the pork, which was cut into very thing strips like straws.  The dim sum was very good but it took a loooong time to come out; we had nearly finished our entrees before it was delivered. \n\nOne cool thing about this place is that they serve craft beer!  I was impressed with the beer selection and, although I opted for a Rollberg on draft this time, was excited to see so many unique options. \n\nAll in all, it was really nice and I would definitely go back!"""
b'da-jia-le-berlin-3',4,b'2016-05-20',b'One thing for sure. Check their fish menu! Everything is the next-door-girl but their Fish is a diva.'
b'da-jia-le-berlin-3',5,b'2014-06-20',"b'This place is incredible! I live only 2 blocks away and just discovered the place! The waitress was super friendly and the food was exceptional! \nI never write reviews on Yelp, but This place was too good for me not to. \nIf you want delicious authentic Chinese food with big portions, this is the place to GO!'"
b'da-jia-le-berlin-3',5,b'2016-07-23',"b'Good authentic Chinese food, rare to find like this in berlin.'"
b'da-jia-le-berlin-3',5,b'2014-09-30',"b""Going back and forth between a 4.5-5 only because they forgot our order of noodles & thus it came out way too late..\n\nFood is spectacular, mostly referring to their Spicy Tofu dish with Rice for 9.50. \n10 Dumplings for 6.50 isn't the greatest, so you can skip on that unless you are in a party of 5-6. \n\nI will have to come back for the spicy tofu."""
b'da-jia-le-berlin-3',5,b'2015-02-15',"b""Wow, I did not expect this at all. First, best Chinese food (non-dim sum category) I've found in Europe. Spicy, tasty, and a diverse selection of dishes that go way beyond the typical Asia Box imbiss menu of X with noodles, Y with noodles, X with rice, Y with rice, etc. The menu is divided into two parts -- the first includes pictures of each dish and is mehr oder weniger the best part. Lots going on here, with a wide variety of Chinese regional cooking, and even some (Russian, Indian) borrowed from neighboring countries. The second half of the menu is the more traditional set of Chinese dishes you'd expect to find in a Chinese restaurant anywhere in the West. We tried beef with cumin spice, a whole fish with five-spice flavored sauce, szechuan pepper flavored shoestring potatoes (very spicy!), and a spicy cucumber salad. Service was nice and helpful, and while I little spartan, the restaurant was clean. \n\nSo, we'd have been pretty with all of that, but then, wow again, somehow this modest little chinese restaurant just happens to have the best, most affordable, and most diverse craft beer selection in Berlin!  Really. A few American imports, Belgians, and German microbrews.  Flat German pilsners are rarely good matches for spicy food, and wheat beers and rice are a poor match as well, which is why I was so geeked to see hoppy and flavorable beers on the menu here that could stand up to chili peppers and other strong spices.\n\nWe were less than halfway through our meal and already trying to figure out how soon we could come back without it being awkward."""
b'da-jia-le-berlin-3',5,b'2014-10-16',"b""A cuisine influenced by Russia, Korea, and China? Just wow! Their seaweed salad is to die for. Their soups and stews are hearty and perfect for Berlin's awful winters. Kimchi lovers you may have a religious experience. Warning: their Szechuan dishes are properly spiced (very, very, spicy). I'm a regular and with every visit am discovering new flavors. In my opinion this is one of Berlin's most interesting restaurants. My only complaint is they don't currently take credit cards."""
b'da-jia-le-berlin-3',5,b'2014-10-30',"b""I hesitate to review this largely undiscovered gem, because if more people knew how amazing the food is, this place would be packed. But hell, they deserve the business. \n\nOccupying a space that was once an industrial laundry, and decorated a bit like a suburban hotel lobby, Da Jia Le is very much the opposite of a trendy hipster hangout. Whatever. It's all about the food. Order off the menu of Northeastern Chinese regional specialties (the section with the photos), many of which are unlike anything else you'll find in Berlin. The spicy dishes are not only truly, properly spicy - they're wonderfully fragrant and well-balanced, with very generous portions. The Sichuan Pork in Chili Broth is probably my favorite, and one order (13.50) is big enough for several people. The meat menu doesn't shy away from offal and bones (the stuff of real Chinese food) and the vegetable and tofu dishes are sensational too, especially the eggplant. \n\nEvery time I've been, the service was incredibly friendly and professional, making the experience all the nicer. But it would be really nice if this place delivered too; the location isn't in the most lively spot for a night out."""
b'peking-ente-berlin-2',5,b'2017-09-22',"b""We've eaten Chinese in lots of place around the world and this ranks easily in the top 3. My wife had gong pao chicken and I had the fried black pepper beef; both were superb. Veggies sweet and crunchy, meat cooked to perfection. We also has an order of baked shrimp crackers--marvelous. \n\nAnd the service was attentive and efficient and very prompt. Perhaps prompted by reviews here, waiter told us tip was not included.\n\nHighly recommended."""
b'peking-ente-berlin-2',4,b'2016-08-04',"b""I give this place a solid 4 stars. I went to this spot during their lunch hours so I was able to order from their lunch menu. The prices were super reasonable with their lunch menu. Each person's meal ranged from 7 to 10 euros. \n\nI ordered their fried tofu. As far as my drink, I opted for their rose blossom tea. I recommend both of these options for lunch. In total I paid about 12 euros for my drink and lunch. The fried tofu is crispy on the outside and soft on the inside. The sauce is kind of salty. Thus, I would have wanted more rice. I suggest you order an extra bowl of rice to counter the salty level of the tofu dish."""
b'peking-ente-berlin-2',5,b'2017-09-11',"b'Wow! Good food and service- actually some of the best we found in Berlin. Vegetable options, English and German menus, high quality food. Highly recommend.'"
b'peking-ente-berlin-2',1,b'2017-08-24',"b""OK food, but terrible service! Wait forever to get my check. Be careful, they'll secretly add tips on your bill."""
b'peking-ente-berlin-2',1,b'2016-09-30',"b""They don't actually stay open as late as they say. Hours aren't accurate. We arrived a half hour before the listed closing time, and we weren't allowed to be seated. Despite telling him that his hours posted on the door indicate the restaurant is open, we were turned away. Don't waste your time."""
b'peking-ente-berlin-2',2,b'2017-02-28',"b""I had such high hopes due to all the great reviews. And I got disappointed. Had a soso honey pork dish which really didn't flash me at all. The sugar peas where rather spare and overall the dish was pretty bland. Bummer!"""
b'peking-ente-berlin-2',2,b'2016-05-14',"b""I only order one thing , but it's not good\nThere's Expensive meal but using cheaper material, the yuxiang shredded pork should with carrots but they are using bean sprouts which maybe cheaper and really minimum agaric I only can find three piece in the meal, does make this meal really not good, I don't think I will come back again"""
b'peking-ente-berlin-2',5,b'2016-09-24',"b""Delicious Chinese in Berlin. We had the dim sum and jelly fish for starters, then the kung pao chicken and duck for our main courses and the green tea with toasted rice to drink. All of it was very good, though we'll order it spicier next time. Highly recommended!"""
b'peking-ente-berlin-2',4,b'2016-08-30',"b""The ubiquity of Chinese restaurants in every town I've been to dulls the senses a little towards what's going to be eaten. This place woke up my taste buds with dishes that were traditional but still new to me. It helped that I visited with some Chinese friends who ordered without really looking at the menu. I won't attempt to make any recommendations but needless to say everything we are was top notch and at a reasonable price. Recommended."""
b'peking-ente-berlin-2',4,b'2016-01-23',"b'I was seated quickly and the meal was brought about 5 minutes after ordering.  Had the sweet and sour chicken.  It was served different than what I am used to, but I enjoyed it.  Price was around 12 euros. Berliner tap beer was cold and awesome.\n\nThe waiters did disappear for 45 minutes and I had trouble getting the bill.'"
b'peking-ente-berlin-2',5,b'2016-07-02',"b""This is a really good Chinese place in Berlin. We had a variety of dishes, and all of them were very good. I'm 1/2 Chinese. The Peking Duck was actually quite authentic, contrary to some reviews, and the Bok Choy, Hong Shao Qie Zi (\xe7\xba\xa2\xe7\x83\xa7\xe8\x8c\x84\xe5\xad\x90\xef\xbc\x9bsoy sauce braised eggplant), and Kung Pao Chicken were all fantastic. The service was good as well. They have English menus upon request. Free shot of plum wine at the end of the meal was nice. I'd definitely come back here."""
b'peking-ente-berlin-2',2,b'2015-07-03',"b""The food here is good, and they have a special menu for the hot summer, but the service is strange, and I feel bewildered and neglected. Maybe I'm too accustomed to dining in the US, I just wished when I sat down, someone could come over and ask me what I'd like to drink. But the waiter just left me with a menu and left. It took some time and work to get their attention when I wanted to order. \n\nMoreover, tips are included in the total amount on my bill, which my German friend told me is unusual and never heard of in Germany."""
b'peking-ente-berlin-2',1,b'2014-09-29',"b""Tried this place last night because of briefly reading a few reviews and I was not impressed. Being on Chinese decent living in Vancouver Canada where we been told we have the best Chinese food outside of China. This place was a disappointment and I hate to say the worst Chinese food I have ever had. We had a few starters soup, dumplings, fried noodles etc. which was different I was jot impressed. Waiting for our main coarse Peking duck to arrive I was hopeful and excited by saying they can't mess this up unless they change the sauce... They did instead of the classic housin sauce I Dunno what they gave us but left a chalky aftertaste. Bill came to 76 Euros!\n\nMaybe my standards are high being from where I'm from but sorry this place is terrible. Don't say you haven't been warned."""
b'peking-ente-berlin-2',5,b'2015-02-14',"b""It's one of those places made me wish there were more stars on Yelp reviews. Looks like a regular chinese place, but it's a gem. We tried lamb (don't know name showed picture in Yelp to order), duck with peanut souce, seaweed salad and dumplings. All excellent. Haven't eaten that good chinese in ages. Staff is nice and place is big and spacious too. They suggested wine with our food (no kidding), and I was surprised how it complimented food.\n\nPS to bad mouthing chinese: Yeah you can eat better chinese in China. Too bad it's a trillion hour flight."""
b'peking-ente-berlin-2',4,b'2013-06-05',"b""One of the best Chinese joints I've been to in Europe.\n\nDirt cheap and the food is great. The menu is authentic and bountiful including very good dim sum, szechuan specialties and of course Peking duck with pancakes.\n\nThe duck was fairly moist and crispy. Everything else was fantastic. The eggplant in chili oil and garlic with cilantro was dreamy.\n\nI wanted to order the entire menu and actually look forward to going back next time I'm in Berlin!!\n\nUnfortunately, the service sucked, otherwise it would have deserved 5 stars!"""
b'peking-ente-berlin-2',1,b'2015-09-28',"b'this is probably the worst restaurant i\'ve ever been to, anywhere in the world. this includes the taco bell that consistently made me sick as a kid....\n\ni\'ve been in europe for almost 3 weeks now and was craving some chinese food, so found this place on yelp with 4 stars and 150 reviews, so figured it was a solid pick. we get there and are seated instantly (although we didnt have reservations, b/c they asked lol). it took a few minutes for our waitress but got drinks and food on order and waited. \n\nfirst up, XLB, because i have to eat XLB anywhere it is served (who doesn\'t?!). XLB was good but not soupy, but hey, it\'s germany, not shanghai or NYC. \n\nour entrees arrived and it\'s a bit weird. i ordered ""crispy fried chicken with sweet and sour sauce."" what i got was a fillet of fried chicken cut up, and then on top of it, another fillet of sesame encrusted chicken, also cut up. ok, that\'s cool i guess. then i get a bowl of sweet and sour sauce. \n\nthis whole time, there\'s some fruit flies around, but when i pour out soy sauce (luckily on my plate b/c i wasn\'t sure if it was vinegar) there were *several* dead flies in it! holy smokes! my parents are with me and now aghast. the waitress that i told was like ""oh, yeah, ok ill get you a new one."" seems this is a known issue...\n\nmy dad got crispy duck and noted that it wasn\'t good, like it had been reheated. after leaving and reading additional reviews it seems we\'re not alone in that thinking. \n\nwe got our check and left, but noted they added service on the bill of around 8%. i spend quite a bit of time in europe and i\'ve only seen that at high end places, not places like this. no one on the team ever asked how the meal was or seemed concerned we barely ate anything. quite a horrible experience.'"
b'peking-ente-berlin-2',1,b'2015-07-13',"b""Extremely unfriendly waiters. We sat down on the terrace and they tried to move us to another table because they didn't want to walk the extra couple of meters to serve us. When we said we prefer to stay at that table they said we need to move because of our pram with our one month old daughter (sleeping by the way, so no annoying crying etc) was in the way. We just left."""
b'peking-ente-berlin-2',1,b'2015-03-29',"b""Food was absolutely disgusting. Greasy, bland, and came out cold. Also, their staff were some of the rudest servers I've ever encountered. Save your money and time and go somewhere else."""
b'peking-ente-berlin-2',1,b'2015-11-07',"b""Food was extremely salty. I'm not usually one to make a fuss, but I had to send my mapo tofu back. I could not eat more than a spoonful. When I told the server I wanted to cancel my order (not replace it) he reacted with a confused frowning face saying 'I tasted it, it's not salty. It's normal '. At least when I reiterated that it was in fact salty and I didn't want it he took it away and I wasn't charged for it. I was however shocked to see that they had added a tip to our bill (around 10% if I remember right). I have not seen this so far anywhere else in my two weeks here in Berlin. This includes more upscale establishments and restaurants serving us as a party of 10 or more (we were only 4 at peking ente).\n\nAs I side note, I understand that bottled water is part of the culture in Europe. But stating explicitly that you don't serve tap water and making the food this salty seems a big suspect."""
b'peking-ente-berlin-2',3,b'2013-12-19',"b""5 stars??!!  Really?!  This place is overpriced and sub par.  \nWhile visiting berlin we relied in this restaurant's stellar yelp reviews to make a dinner choice. If this is the best that Berlin has to offer, I suggest replacing all meals with bread and beer. We specifically ordered the specialties of the house in order to get the most authentic experience possible. The meal was just the opposite.  The soup and dumplings were good but nothing to write home about. The perch was over salty and totally overpowered by it's heavy brown sauce, the sweet and sour chicken was lightly breaded but the sauce was equivalent any US takeout, ditto for the roast At 32 euros The Peking duck was a rip off so we didn't even bother. The interior was a little better than average but the neighborhood and building looked like the ghetto."""
b'peking-ente-berlin-2',5,b'2014-07-15',"b""I thought our two dishes were great.  Highly recommend the mapo dofu and the yu-hsiang eggplant.  Both were seasoned perfectly.  I can't wait to go back."""
b'peking-ente-berlin-2',2,b'2014-06-20',"b""We've been here second time. First time we had Beijing duck and got quite unsatisfied with it, because it's not close to what you get in China. After a while we tried again today and chose some more typical Hunan style food. We should have learned from the first time being here: The vegetable was overcooked, I couldn't finish the meat because of the too strong seasoning. So the food was far below what you would expect from a better Chinese restaurant. Normally at least we would have eaten something, but here it was almost not possible.\nThe waiters are very friendly and the interior is a bit cool but looks clean. Since there are quite a few nice Chinese restaurants in Berlin, we can't recommend this one so far and won't give it a third chance."""
b'peking-ente-berlin-2',3,b'2014-06-14',"b'I thought the food was mediocre.  We ordered many dishes and everyone was underwhelmed.  We expected more based on all the good reviews.  Compared to Chinese restaurants in NYC, San Francisco and Los Angeles our meal in Berlin was a disappointment.'"
b'peking-ente-berlin-2',5,b'2014-04-12',"b'The place has ENGLISH MENUS!\n\nThe english menus made it quite easy to order and made the restaurant feel much more welcoming. The food itself was quite good, especially the Gung Bao Chicken. The service was quite fast as well by Berlin/European standards!'"
b'peking-ente-berlin-2',4,b'2011-10-15',"b'Outside of Vietnamese and sushi, Asian food in Berlin is often disappointing.  So when I came across glowing reviews for this restaurant on another site frequented by Germans I was cautiously hopeful - even though it is located in the middle of tourist-trap hell.\n\nThankfully that optimism held true.  The SO and I shared a Sichaun Menu for 2 that included Fried Prawns, deep fried duck, Gong Bau Chicken, and baked pork in sweet and sour sauce - all for 32 euro.  On the whole the food was very good, with the strongest dish being the chicken, which was fresh and nicely sauced, and the weakest being the pork, which was the only dish we did not finish.  But even the pork was better than average, with a sauce that was not the usual sweet goop too often found in Chinese restaurants but rather a more complicated citrusy one that allowed the pork room of its own to be tasted.\n\nIt should be noted that the SO and I both agreed that we enjoyed the meal, but would not have that particular menu again.  So why the four stars?  Well at least one of the stars is for the tea we drank.  They have a selection of more exotic Chinese teas available by the pot - we had Jasmine flower-ball (which is literally a Jasmine flower inside a clear pot - cool and tasty) and green-tea with roasted rice which is really excellent - almost a more masculine tea that comes across as somewhat smokey and yes, a bit ricey (in a good way!)\n\nThis is a restaurant I will return to because the menu holds a great deal of promise.  The dim sum choices, for example, look above average and they offer a Chinese fondue that sounds excellent.  When I go back, however, I will not make the same mistake we did tonight, arriving without reservations to a packed restaurant.  We were lucky we got in as they turned a number of larger parties away out-right.  Clearly Berliners have discovered this and I am glad I finally stumbled onto it as well...'"
b'peking-ente-berlin-2',2,b'2014-03-02',"b""Avoid. \n\n---\nThe interior could be nice'ish - the surroundings are an old university student concrete slab desolate 'ghetto', as another reviewer commented. I would like to write we ate there, as this is supposed to be such a place...\n\n..but i can't! [Head to Meli's instead.]\n\nWe glanced at a few reviews, and were mostly mesmerized at 4,5 stars and 79 reviews. { Ahem... after closer inspection the supposedly 'Deep Thought' engine sorting and dismissing 'irrelevant' reviews, is including five-year old reviews.. which are no longer accurate.}\n\nAnd so we set to go, and then after, to westberlin cafe, just finished dropping someone off near mendelson ubahn (u2), hungry and exploring. 'Two stations then excellent chinese food', we thought.\n\nAfter getting there, it looked completely empty. _Empty_. From The entry, looking to the left, away and in the corner - not the 'best' views, had no reserved sign - neither the tables around it. Approaching the waiter's station, i noticed about half of the tables reserved, and.. eventually i was told, after several minutes of waiting, that it would be 'just a moment', and then the same in deutsch. Something felt odd or strange about that, sterile and disconnected. Cold. My appetite slightly sank for their food.\n\nSome moments later, i was immediately asked 'zwei person' officiously, not at all relaxed, warm or friendly, and then was immediately told 'alles reserviert' - everything is reserved.\n\nThe manner was so crass, that i didn't even feel like carryout or have any appetite for their food, and just left, telling my girl in an amazed voice that, 'she said everything was reserved!' She was already seated at the non-reserved 'reserved' table, eagerly anticipating a menu which would never arrive.\n\nAware of the excuses we could make for them, such as 'not enough reserved' signs since the wall came down, i'm going with the feeling on this one - something just ain't right.\n\nWe went to Meli's instead; laid-back friendly service, nice background not-too-loud music, casual. Friedrichstr. 204. Hope to leave a review if there isn't one already.\n\nOnto westberlin next!"""
b'peking-ente-berlin-2',4,b'2013-10-22',"b'The classic, classic Chinese restaurant you\'d find or should find in any ""ChinaTown"" around the world. I tried the typical Sweet & Sour Chicken with Pork Fried Rice, she tried a ""custom"" dish by request - tofu, chicken, prawns in a spicy sauce with garlic. Both brought tasteful smiles. The most fabulous, however, was the mango sorbet served - so good, it may as well have been the fruit itself!'"
b'peking-ente-berlin-2',4,b'2011-09-19',"b'Good authentic mainland (Peking and Sichuan, not Hong Kong/Cantonese) Chinese food. Nice simple decor, good service and you get proper Chinese home-cooked food in Germany (which is a long way from China).\nPrices are not the cheapest but it is not at all expensive for what you get and what you get is pretty well fed. The Peking Duck is only 35 EUR for 2 persons, which cannot be considered very expensive, though it is not terribly authentic either. But one can see it is indeed home-cooked and full points for the effort.\nBut overall, it is really best to stick only with the Sichuan dishes, like the lamb cooked in dried herbs. That was really quite yummy!'"
b'peking-ente-berlin-2',1,b'2012-04-27',"b""I was looking forward to trying this place out because of the high ratings here, but found the food quite terrible. The quality of the Chinese food was that of an 8 euro buffet, while we paid 32 euros for our sichuan meal (not including drinks). Perhaps they have better items on the menu, but after trying four dishes ranging from mediocre to awful, we won't be giving them another shot."""
b'peking-ente-berlin-2',3,b'2011-04-18',"b""Just went today for lunch with my girlfriend.\nWe ordered two dishes :\nEnte Gebraten mit gemuese ( backed Duck with vegetables) and\nente gebraten mit scharfe sauce ( duck with hot sauce).\nBoth they came with a nice-standard soup.\nWhen the duck is arrived we were a bit disappointed.\nThe quality is middle, the duck is not so crispy and fresh, and the sauce it's quite poor in taste and choose of ingredients.\nWe know very well how a good grill Chinese Duck should taste, after years living in Chinatown in london and after trying loads of chinese restaurants in Bangkok. \nPeking Mitte is a sufficient quality duck restaurant, at an affordable price.\nnothing more, especially after reading the 5 stars review from loads of german people here on qype.\nGood thing is service and drinks are really bargain (2 EUR for a 0.3 coke), but we don't go to restaurant for drinks, we go for tasting good food!"""
b'peking-ente-berlin-2',5,b'2013-09-01',"b""Very good, authentic food, friendly service. It's nice to sit ouside with good weather, fortunately there is not much traffic on Wilhelmstrasse.\nMy favourite dish: Beijing style noodles (spaghetti Beijing)\nThe lovely book collection of Ms Tang invites to stay a bit longer. According to German magazine Der \nSpiegel the favourite restaurant of pianist Lang Lang when he is in Berlin."""
b'peking-ente-berlin-2',3,b'2013-07-19',"b""It was our first time there, the service was kind and the food was very\nvery tasty. The Peking duck was Ok, but not the best one I had. All the other dishes though were excelent. \n For me the whole evening was ruined by the hostess. She was kind of\nunfriendly and told me to keep my kid (2Y) quiet because die andere\nG\xc3\xa4ste nicht begeistert sind . I suppose\nshe was right about that, but I am also sure that there are friendy ways to say that to a guest. So we won't go there again. At least not until\nour kids are 18 :-)."""
b'peking-ente-berlin-2',5,b'2011-03-12',b'This is the best Chinese place I have eaten at in Berlin.  The Peking Duck tastes authentic and everything else was a big step above what normally passes for Chinese food in Berlin...'
b'peking-ente-berlin-2',5,b'2012-10-28',"b'Service: top.\nLage: top.\nEinrichtung: interessant ;)\nEssen: fantastisch.\nSowohl die Ente als auch das Rind waren wirklich sehr sehr gut, ausgewogen und vor allem auch ohne Glutamat. Die dim sum schmeckten hervorragend.\nBesonders empfehlenswert ist der Jasminblumen-Tee, schmeckt super und ist auch was f\xc3\xbcrs Auge.\nSogar der Wein war klasse, was nicht immer gegeben ist. Wir kommen sicher wieder. Preis-Leistung ist unschlagbar.'"
b'peking-ente-berlin-2',3,b'2009-08-11',"b'Pretty good real Chinese restaurant.\n\n\n Nice menu with lots to choose from.\n\n\n Patio where you can sit outside, but inside is also nice. Service always friendly. Parking places in front of the door.\n\n\n Great value for money, especially the business lunches in the afternoon when you get a soup plus main course for about 6 euro!\n\n\n Food is a bit on the fat and salty side though too bad !'"
b'peking-ente-berlin-2',5,b'2009-09-24',"b'I visited this restaurant earlier this week after reading about it on QYPE. Very interesting menu which has much different choices from the norm.\nI had the most lovely cold starter which is sliced pork with a multitude of dressing and flavours- nice. The main course of prawns was also excellent and very well presented.\nThe service was also very attentive and friendly. Hmm nice Berliner Pilsner also served here too.\nOverall, i really enjoyed the meal, and much thanks to the owners who gave me directions through QYPE'"
b'peking-ente-berlin-2',5,b'2010-04-24',"b'If you have never been in China before and tasted real Chinese food you might be surprised or even disappointed, but give it a try then without thinking about the typical Chinese you find in Europe or the USA. Close your eyes, order what the lovely service recommends and taste thinking you try something completely new...and you might love it! It comes pretty close to the real phantastic Chinese kitchen, but has only few similarities to the glutamate Chinese...good, recommended, it even looks close to a real Chinese resto, pretty uninspired and cold, but hey it is close to real and the service is really lovely! Enjoy'"
